BPigGha00038_Library1_Lane1       ILLUMINA  11  ILLUMINA  33
BPigMad00006_Library1_Lane1       ILLUMINA  9   ILLUMINA  18
BPigMad00007_Library1_Lane1       ILLUMINA  9   ILLUMINA  18
BPigMad00008_Library1_Lane1       ILLUMINA  14  ILLUMINA  18
BPigMad00009_Library1_Lane1       ILLUMINA  9   ILLUMINA  15
BPigMad00010_Library1_Lane1       ILLUMINA  9   ILLUMINA  15
BPigMad00011_Library1_Lane1       ILLUMINA  9   ILLUMINA  15
BPigMad00012_Library1_Lane1       -         8   ILLUMINA  15
BPigMad00013_Library1_Lane1       -         8   ILLUMINA  11
BPigMad00014_Library1_Lane1       ILLUMINA  9   ILLUMINA  15
BPigMad00015_Library1_Lane1       ILLUMINA  9   ILLUMINA  15
BPigMad00016_Library1_Lane1       ILLUMINA  9   ILLUMINA  15
BPigMad00017_Library1_Lane1       ILLUMINA  9   ILLUMINA  15
BPigMad00018_Library1_Lane1       ILLUMINA  16  ILLUMINA  18
BPigMad00019_Library1_Lane1       -         8   ILLUMINA  11
BPigMad00020_Library1_Lane1       ILLUMINA  9   ILLUMINA  15
BPigMad00021_Library1_Lane1       -         8   ILLUMINA  11
BPigMad00022_Library1_Lane1       ILLUMINA  9   ILLUMINA  15
BPigMad00023_Library1_Lane1       ILLUMINA  21  ILLUMINA  18
BPigMad00024_Library1_Lane1       -         8   ILLUMINA  11
BPigMad00025_Library1_Lane1       ILLUMINA  9   ILLUMINA  15
BPigMad00026_Library1_Lane1       -         8   ILLUMINA  11
BPigMad00027_Library1_Lane1       ILLUMINA  9   ILLUMINA  15
BPigMad00028_Library1_Lane1       ILLUMINA  9   ILLUMINA  15
BPigMad00029_Library1_Lane1       ILLUMINA  9   ILLUMINA  15
BPigMad00030_Library1_Lane1       ILLUMINA  9   ILLUMINA  15
BPigMad00031_Library1_Lane1       ILLUMINA  9   ILLUMINA  15
BPigMad00032_Library1_Lane1       ILLUMINA  9   ILLUMINA  15
BPigMad00033_Library1_Lane1       ILLUMINA  9   ILLUMINA  11
BPigMad00034_Library1_Lane1       ILLUMINA  9   ILLUMINA  15
BPigMad00035_Library1_Lane1       ILLUMINA  9   ILLUMINA  11
BPigMad00036_Library1_Lane1       ILLUMINA  9   ILLUMINA  11
